Date,Content,Introvert(I),Extrovert(E),Judging(J),Perceiving(P),Feeling(F),Thinking(T),Sensing(S),Intuition(I),Flesch,Novelty Score,Novelty Ratio,Smog,Kincaid,Coleman,Readability,Dae Chall,Linsear Write,Gunning Fog,ENFJ - The Giver,ENFP - The Champion,ENTJ - The Commander,ENTP - The Debater,ESFJ - The Caregiver,ESFP - The Performer,ESTJ - The Director,ESTP - The Persuader,INFJ - The Advocate,INFP - The Mediator,INTJ - The Architect,INTP - The Thinker,ISFJ - The Protector,ISFP - The Artist,ISTJ - The Inspector,ISTP - The Crafter,agriculture_environment,arts_culture,business_industry,economics_finance,education_language,employment_labour,government_politics,health_safety,indigenous_affairs,information_communications,international_affairs,law_justice,science_technology,social_affairs
2019-03-09,How to automatically (API or service) detect grammar faults or bad ...,0.841575,0.158425,0.000931379,0.999069,0.112516,0.887484,0.0193665,0.980634,43.39,11,91.66666666666666,0.0,9.9,10.01,9.3,8.49,6.0,8.04,0.00378603,0.807156,0.00239565,0.00581784,0.00307917,0.000952192,0.00144403,0.00212234,0.00366164,0.00124496,0.024071,0.021661,0.103411,0.00136912,0.0008903,0.0169374,0.0241706,0.00345186,0.0181148,0.0268208,0.0111738,0.0166296,0.0380682,0.00892734,0.00710102,0.705025,0.0172383,0.044135,0.0572233,0.0219208
2019-03-09,Why You Should Have (at Least) Two Careers,0.524306,0.475694,0.102918,0.897082,0.41157,0.58843,0.233492,0.766508,105.66,8,100.0,0.0,0.5,4.31,3.2,6.01,3.0,3.2,0.0304502,0.0180166,0.316058,0.097987,0.0348488,0.0291973,0.0165852,0.0654876,0.0535109,0.106704,0.0978948,0.0569953,0.021471,0.0220135,0.0225528,0.0102273,0.0104138,0.0123074,0.0391093,0.0162941,0.021893,0.0826811,0.162081,0.176657,0.00623115,0.262689,0.0434637,0.0105922,0.0145448,0.141043
2019-03-09,Being a Two-Career Couple Requires a Long-Term Plan,0.958904,0.0410964,0.00341146,0.996589,0.530975,0.469025,0.0505531,0.949447,71.82,7,87.5,0.0,5.2,10.8,8.5,9.95,3.0,3.2,0.991905,0.000438446,0.00141889,0.0010428,0.000205401,0.000520579,0.000773898,0.000551831,0.000421955,0.000298107,0.000406439,0.000382623,0.000428705,0.000519776,0.000266196,0.000419679,0.0166842,0.00703724,0.0026255,0.0174381,0.0064617,0.0143058,0.0128382,0.0111044,0.0152052,0.00279722,0.00731729,0.00944018,0.00454615,0.872199
2019-03-08,How to remove all special char in string by python? - Stack Overflow,0.872054,0.127946,0.0141749,0.985825,0.35838,0.64162,0.993974,0.00602567,84.68,13,100.0,0.0,4.4,7.93,6.6,6.86,5.5,4.8,0.00150441,0.00279185,0.0196478,0.50926,0.00192528,0.00238174,0.00875594,0.00576088,0.00667499,0.0040534,0.418483,0.0015683,0.00247781,0.00725541,0.00116093,0.00629844,0.653562,0.0070174,0.0209212,0.0278242,0.0105644,0.0154648,0.051804,0.0101782,0.0272072,0.0737418,0.0251721,0.0034227,0.0576816,0.0154382
2019-03-08,strip or remove all special characters from list of strings in python ...,0.638771,0.361229,0.400294,0.599706,0.0299535,0.970046,0.995761,0.00423925,76.22,13,100.0,0.0,5.6,9.85,8.5,6.86,6.5,8.13,0.000284687,0.00354014,0.0125289,0.0326685,0.00031058,0.000749653,0.00154445,0.00150479,0.000878493,0.00110915,0.940215,0.000294439,0.000586479,0.00256303,0.000418224,0.000803766,0.0488852,0.00447534,0.012787,0.0114796,0.006166,0.0201731,0.0759487,0.0150268,0.0333253,0.0285372,0.0174502,0.56794,0.0132811,0.144525
2019-03-08,UnicodeDecodeError: &#39;utf8&#39; codec can&#39;t decode byte 0xa5 in position ...,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20.04,10,100.0,0.0,12.7,20.27,21.8,12.86,6.0,12.49,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286,0.0714286
2019-03-08,"Personal Banking | Internet Banking | Corporate, NRI Banking ...",0.80433,0.19567,0.0193688,0.980631,0.999917,8.33194e-05,0.0993071,0.900693,-28.7,7,70.0,0.0,19.0,20.66,19.1,13.01,7.0,19.94,7.28315e-07,4.23297e-07,4.56764e-07,4.15507e-07,3.06461e-07,3.40609e-07,1.11594e-07,2.76639e-07,4.66757e-07,2.0995e-07,1.09195e-06,2.23138e-07,1.54123e-07,2.2264e-07,1.24329e-07,0.999994,0.011512,0.0137114,0.0377403,0.60211,0.00272058,0.0267063,0.0413706,0.0039746,0.0431409,0.0884523,0.0310129,0.00855244,0.0484337,0.040562
2019-03-08,Twitterati slam Piyush Goyal for angry reaction to question on ...,0.852353,0.147647,0.020908,0.979092,0.239559,0.760441,0.989713,0.0102866,52.87,11,100.0,0.0,8.4,11.98,9.9,8.87,5.5,8.0,0.0138635,0.00764208,0.0117666,0.0763246,0.0110218,0.0161493,0.0131727,0.665601,0.0244416,0.0302965,0.0200759,0.0422232,0.015972,0.015783,0.00959441,0.0260716,0.0254998,0.0837041,0.0198422,0.0143137,0.0454149,0.0323665,0.111745,0.0372488,0.0486421,0.0563129,0.025164,0.373191,0.0507932,0.0757613
2019-03-08,A Glimpse of A.I.&#39;s Future? MIT-IBM Research Lab Sees ... - Xconomy,0.89283,0.10717,0.975881,0.0241193,0.428389,0.571611,0.445438,0.554562,66.4,12,100.0,0.0,5.2,6.7,9.3,8.62,2.5,6.0,3.60406e-05,3.69126e-05,4.33401e-05,3.69508e-05,3.90899e-05,4.34991e-05,0.000113161,4.25201e-05,8.2447e-05,0.999271,3.00183e-05,4.04526e-05,4.71259e-05,4.41147e-05,4.68139e-05,4.61373e-05,0.00286393,0.00396378,0.00118464,0.00284867,0.00358738,0.00338886,0.00196983,0.00293429,0.00332508,0.701004,0.00297453,0.263671,0.00368508,0.00259871
2019-03-07,Achin Tyagi Profiles | Facebook,0.422313,0.577687,0.981185,0.0188152,0.99996,4.00442e-05,0.5,0.5,33.58,5,100.0,0.0,9.6,14.5,12.4,15.68,1.5,1.6,0.0001556,2.01531e-05,5.776e-05,5.69723e-05,2.72673e-05,2.82808e-05,4.84371e-05,2.52723e-05,0.000213546,8.96069e-05,0.385104,1.9918e-05,9.36024e-05,2.29927e-05,0.0203572,0.593679,0.00519857,0.139512,0.663274,0.026358,0.00870409,0.0236647,0.0203295,0.00839577,0.024156,0.0293875,0.00847666,0.00383726,0.0077944,0.0309119
2019-03-06,type object &#39;datetime.datetime&#39; has no attribute &#39;datetime&#39; - Stack ...,0.997327,0.00267315,0.000377732,0.999622,0.377172,0.622828,0.000460122,0.99954,4.14,10,100.0,0.0,14.7,24.61,28.5,9.95,6.0,3.2,0.0113664,0.0182227,0.0638593,0.123037,0.0147681,0.0153203,0.157398,0.0154183,0.01416,0.278507,0.0212803,0.0359951,0.0820133,0.0446999,0.0489926,0.0549611,0.0431637,0.056339,0.0234007,0.110175,0.0465457,0.044717,0.0655431,0.0359004,0.0374025,0.0676092,0.0378482,0.345958,0.048567,0.036831
2019-03-05,Linguistics | Harvard University - The Graduate School of Arts and ...,0.426789,0.573211,0.389912,0.610088,0.71769,0.28231,0.0567032,0.943297,11.58,12,100.0,0.0,13.9,15.74,14.0,11.1,8.0,16.93,0.00113926,0.000788324,0.00124393,0.00129845,0.000368637,0.000313718,0.000574024,0.0076504,0.00808704,0.00663645,0.00131433,0.002679,0.00093037,0.0205932,0.000416699,0.945966,0.00992546,0.0536527,0.00643677,0.00561709,0.225299,0.0255963,0.361155,0.0106021,0.0586209,0.0126359,0.0388365,0.00933752,0.0291042,0.15318
2019-03-05,How to sort a list of lists by a specific index of the inner list? - Stack ...,0.7956,0.2044,0.000421408,0.999579,0.816738,0.183262,0.98524,0.0147597,72.16,16,88.88888888888889,0.0,7.2,2.72,4.5,7.39,9.0,8.9,0.00508229,0.0050577,0.133532,0.0186946,0.00341175,0.0337117,0.0201175,0.00364843,0.0374017,0.65062,0.0125215,0.0143949,0.0262534,0.00421212,0.0112877,0.0200527,0.344701,0.0162737,0.0165862,0.0203236,0.0185406,0.0695762,0.0812549,0.0717618,0.0360335,0.202019,0.021327,0.0175721,0.0529101,0.0311204
2019-03-05,Python List sort() - Programiz,0.295231,0.704769,0.497748,0.502252,0.726831,0.273169,0.89993,0.10007,75.88,5,100.0,0.0,3.7,10.15,11.2,7.78,1.5,1.6,4.31817e-06,5.34144e-06,1.82178e-06,5.93148e-06,3.0255e-06,6.70527e-06,8.13135e-06,3.44664e-06,9.07374e-06,5.75953e-06,0.999927,4.83641e-06,4.1152e-06,4.30913e-06,3.23802e-06,3.25679e-06,0.0660579,0.035218,0.0517968,0.091847,0.039073,0.161814,0.128776,0.0573874,0.124617,0.0951398,0.0336271,0.00752126,0.0378013,0.0693241
2019-03-05,python dictionary sorting in descending order based on values ...,0.999892,0.000108427,0.000939262,0.999061,0.00369003,0.99631,0.340156,0.659844,36.96,10,100.0,0.0,10.3,15.11,12.4,11.1,6.0,12.49,0.000383427,0.000389001,0.000420297,0.000388691,0.00053525,0.000606031,0.000225905,0.000260666,0.000510281,0.0202383,0.963279,0.000229004,0.000583747,0.0108912,0.000770574,0.000288674,0.170209,0.0128566,0.299985,0.25097,0.0158632,0.0303477,0.0725969,0.0492073,0.0103661,0.0115195,0.00698593,0.0144584,0.0286589,0.0259762
2019-03-03,"Facebook&#39;s Big Focus On India Elections, Says Mark Zuckerberg",0.422313,0.577687,0.29312,0.70688,0.99973,0.000270048,0.5,0.5,62.34,9,100.0,0.0,6.8,15.11,12.9,12.86,3.5,3.6,2.3734e-06,3.20526e-07,3.70321e-07,2.9124e-07,3.90613e-07,4.00054e-07,1.04252e-06,3.7167e-07,4.14229e-06,3.30898e-06,0.999985,3.18077e-07,3.86115e-07,3.49383e-07,4.15596e-07,3.74014e-07,0.0579349,0.0853265,0.155989,0.046755,0.0660421,0.0960892,0.0746971,0.0423901,0.0510623,0.111384,0.0726665,0.00861099,0.0736401,0.0574117
2019-03-03,Special and Non-Printable ... - Regular Expressions Reference,0.957816,0.0421837,0.0505739,0.949426,0.0313405,0.968659,0.0303436,0.969656,-36.14,8,100.0,0.0,19.8,26.55,24.0,17.09,7.0,22.4,0.0110681,0.0203417,0.0328217,0.130788,0.00658892,0.0207003,0.0376698,0.104546,0.2591,0.101242,0.026634,0.136689,0.0532876,0.0249116,0.0174642,0.0161466,0.0571643,0.0456558,0.0259647,0.0674765,0.024047,0.102873,0.171511,0.052658,0.0827537,0.0535371,0.0496983,0.0776764,0.105686,0.0832988
2019-03-03,Is it worth using Python&#39;s re.compile? - Stack Overflow,0.527735,0.472265,0.0812086,0.918791,0.557079,0.442921,0.753579,0.246421,63.36,9,100.0,0.0,6.4,13.01,12.6,9.95,4.5,3.2,0.00184522,0.00143592,0.00185438,0.00162488,0.00164461,0.000643203,0.319857,0.00162013,0.00105583,0.00147995,0.659859,0.00136177,0.000821512,0.000511022,0.0017381,0.00264736,0.034611,0.035022,0.0770818,0.0788265,0.0423385,0.0319339,0.120078,0.0609759,0.0729363,0.143716,0.0689294,0.0353525,0.142801,0.0553968
2019-03-03,"Python Regex: re.match(), re.search(), re.findall() with ... - Guru99",0.781883,0.218117,0.000731241,0.999269,0.993584,0.00641638,0.681769,0.318231,30.53,9,100.0,0.0,10.7,17.35,23.1,8.5,4.5,2.8,6.01107e-06,3.26699e-05,1.00514e-05,1.03076e-05,1.24879e-05,1.66181e-05,0.999227,1.49453e-05,1.15761e-05,1.87233e-05,0.000569267,1.51234e-05,1.2131e-05,6.8591e-06,2.32802e-05,1.2776e-05,0.0279863,0.0793553,0.0504176,0.0815065,0.116971,0.0985064,0.182366,0.0681667,0.0372012,0.0566582,0.0622787,0.0417975,0.0384963,0.0582918
